prediction,y_train
53.34349999999995,53.37
58.93109999999999,59.0
68.16140000000007,68.14
70.4752,70.5
73.83219999999996,73.9
37.4893,37.0
38.242500000000035,38.07
42.49140000000001,41.94
80.6782999999999,80.74
58.219099999999955,58.33
58.02579999999995,57.9
54.919500000000006,55.0
54.50380000000005,54.39
53.452199999999955,53.37
80.77729999999985,80.74
64.25060000000009,64.31
72.03529999999998,72.0
66.0676,66.0
55.72599999999989,55.74
62.1766000000001,62.06
67.92439999999999,68.0
71.7266000000001,71.6
64.46899999999991,64.4
48.194799999999915,48.2
75.45629999999991,75.61
43.81309999999998,43.75
65.38860000000004,65.46
50.002999999999986,50.0
48.96569999999999,48.9
50.31419999999993,50.45
60.396199999999936,60.44
71.90709999999999,72.0
54.97479999999999,55.0
