Train_Result,Actual_Result
69.62,69.66850728378121
81.14,81.13978293641175
35.06,34.93018131220171
79.7,79.70477217653857
67.1,67.16342729510802
53.6,53.648022260665876
33.44,33.83022994306071
58.64,58.65516186130392
73.4,73.31784757622304
55.22,55.071968020611
64.94,64.9557027130476
77.18,77.18107838569264
81.68,81.67878354512779
78.98,78.9491329086878
41.54,41.45313789524799
71.6,71.71565812163955
53.96,53.95974180692382
47.66,47.60166496594282
48.92,48.858029431376174
81.5,81.49271186372795
72.68,72.6743886295478
84.2,84.19469911042084
54.86,54.85218394368578
69.62,69.66850728378121
48.56,48.5318580019126
82.03999999999999,82.02383134970259
80.42,80.41737523248416
53.24,53.2787682438785
75.74000000000001,75.67020992285465
76.82,76.84720861164728
45.5,45.44913893107941
56.3,56.354953030617594
77.18,77.18107838569264
72.14,72.00805202460052
36.32,36.39046379134061
38.84,38.87791462689063
59.18,59.148458088731175
45.14,45.074231156655024
50.18,50.16271270859311
83.30000000000001,83.29677270572031
74.48,74.42554202068202
72.68,72.6743886295478
77.36,77.29570869127527
38.3,38.39427301031645
69.98,70.06755448757818
80.06,80.05459070633353
57.38,57.59078173785643
77.36,77.29570869127527
76.1,76.07705681634909
73.4,73.31784757622304
47.66,47.60166496594282
64.22,64.20272466140739
50.18,50.16271270859311
72.14,72.00805202460052
73.58000000000001,73.56447915517042
43.34,43.34403529472397
80.78,80.76715116650396
75.02,75.01336213195133
74.84,74.7810649711205
68.9,68.96609532592811
63.14,63.09747930177418
64.03999999999999,64.08682079961001
75.02,75.01336213195133
73.22,73.2229413482878
80.24000000000001,80.24079083509625
81.68,81.67878354512779
79.52,79.51579649962814
80.78,80.76715116650396
79.34,79.38507763457501
83.66,83.70110768545614
76.82,76.84720861164728
73.22,73.2229413482878
83.12,83.11109738719979
69.98,70.06755448757818
62.96,62.963771730605956
81.68,81.67878354512779
78.08000000000001,78.10149838797008
42.44,42.19231884323519
60.08,60.47972911751129
75.92,75.96366644811697
45.68,45.706933825392
60.8,60.85058328615706
40.64,40.69881448272404
59.72,59.28820768011142
61.34,61.142979969256714
62.24,62.28956275405346
48.92,48.858029431376174
77.72,77.71059303835729
22.46,24.406095949535306
69.25999999999999,69.07294820018944
73.22,73.2229413482878
80.96000000000001,80.96539682123964
75.56,75.58934961061097
41.72,41.81257123893394
71.24000000000001,70.99143547625059
60.08,60.47972911751129
78.44,78.44161637575768
67.64,67.69068865235009
58.64,58.65516186130392
59.36,59.148458088731175
81.32,81.31619313516113
62.78,62.909752791096096
77.53999999999999,77.58039723416148
39.02,39.2004211990817
80.6,80.59620262060517
80.78,80.76715116650396
80.78,80.76715116650396
55.22,55.071968020611
50.900000000000006,51.04251452244359
48.56,48.5318580019126
53.78,53.77930793491923
53.42,53.399148812473335
45.86,45.77840446682867
62.78,62.909752791096096
66.02,65.98835466717665
79.52,79.51579649962814
55.040000000000006,54.966152840702335
81.86,81.854748711697
59.72,59.28820768011142
41.18,41.247256023228324
52.34,52.38538332500633
59.18,59.148458088731175
78.08000000000001,78.10149838797008
48.02,48.18474397238711
39.92,39.941406873731346
42.08,42.121980246227956
65.12,64.9557027130476
68.36,68.1787563892101
59.900000000000006,60.47972911751129
54.68,54.64242325834838
75.92,75.96366644811697
82.22,82.199148488362
56.84,56.84249024061918
80.78,80.76715116650396
82.58000000000001,82.58443718930792
47.3,47.29349693743849
54.68,54.64242325834838
74.48,74.42554202068202
36.14,36.011989222384884
78.98,78.9491329086878
70.52,70.51616143405191
46.76,46.912625738546836
45.86,45.77840446682867
64.75999999999999,64.7240285390949
52.88,52.818370256809594
59.900000000000006,60.47972911751129
43.34,43.34403529472397
83.48,83.41756366811755
67.64,67.69068865235009
73.03999999999999,73.2229413482878
46.76,46.912625738546836
78.25999999999999,78.2540331174215
65.66,65.98835466717665
57.02,56.85933254579975
42.620000000000005,42.6867380721845
64.58000000000001,64.53507553812258
52.16,52.131877380452984
37.76,37.640859854239295
71.06,70.99143547625059
59.0,59.00163921022785
52.34,52.38538332500633
76.82,76.84720861164728
43.88,43.79138184421
77.53999999999999,77.58039723416148
50.900000000000006,51.04251452244359
63.86,63.93418193257619
70.88,70.79370820352331
42.26,42.19231884323519
73.75999999999999,73.81643773151258
29.48,29.43519741052364
78.44,78.44161637575768
44.42,44.3968621329173
38.48,38.39427301031645
48.56,48.5318580019126
51.44,51.5360558477659
50.36,50.16271270859311
51.44,51.5360558477659
80.24000000000001,80.24079083509625
75.02,75.01336213195133
67.82,67.82957613964938
52.7,52.63427576246027
77.36,77.29570869127527
54.68,54.64242325834838
48.92,48.858029431376174
61.52,61.142979969256714
57.56,57.67188172978227
47.48,47.48123459656737
44.24,44.27850711792306
32.54,32.36972534686591
69.08000000000001,69.05063017114985
76.82,76.84720861164728
64.94,64.9557027130476
37.94,38.02910677655021
80.42,80.41737523248416
71.06,70.99143547625059
47.48,47.48123459656737
52.34,52.38538332500633
45.14,45.074231156655024
75.74000000000001,75.67020992285465
74.84,74.7810649711205
47.66,47.60166496594282
64.75999999999999,64.7240285390949
80.24000000000001,80.24079083509625
37.22,37.26779371529183
73.4,73.31784757622304
63.86,63.93418193257619
78.62,78.60858583965066
54.14,54.144587648583524
53.96,53.95974180692382
74.66,74.63267701634119
60.08,60.47972911751129
80.6,80.59620262060517
66.56,66.40360398788575
40.82,40.73225765028506
78.80000000000001,78.80593032726553
69.80000000000001,69.8055107802847
74.84,74.7810649711205
63.14,63.09747930177418
82.94,82.9319431358283
66.56,66.40360398788575
62.24,62.28956275405346
61.16,61.09452996925671
48.74,48.70382943137617
81.86,81.854748711697
43.88,43.79138184421
66.38,66.30929208885811
53.96,53.95974180692382
52.88,52.818370256809594
45.32,45.422258045259376
76.28,76.28850216047863
80.6,80.59620262060517
50.18,50.16271270859311
41.36,41.359596559411436
84.02,84.00334885629452
58.28,58.24401968422218
61.88,62.14781184223313
39.38,39.403786501895915
66.74000000000001,66.9548943851249
79.34,79.38507763457501
82.94,82.9319431358283
39.74,39.58367287399244
80.96000000000001,80.96539682123964
68.18,67.95860960742046
52.34,52.38538332500633
82.22,82.199148488362
66.56,66.40360398788575
69.25999999999999,69.07294820018944
62.06,62.14781184223313
79.52,79.51579649962814
78.08000000000001,78.10149838797008
59.72,59.28820768011142
82.75999999999999,82.78134318804732
68.53999999999999,68.68417768030157
77.18,77.18107838569264
33.98,33.87938882336641
75.02,75.01336213195133
77.36,77.29570869127527
79.52,79.51579649962814
53.24,53.2787682438785
78.98,78.9491329086878
70.7,70.71129328776817
79.88,79.87855284990864
83.12,83.11109738719979
53.06,53.2217682438785
78.08000000000001,78.10149838797008
76.82,76.84720861164728
40.64,40.69881448272404
48.02,48.18474397238711
51.26,51.07020997862205
50.18,50.16271270859311
37.22,37.26779371529183
80.78,80.76715116650396
80.06,80.05459070633353
53.06,53.2217682438785
69.44,69.45555047289562
31.82,31.735945641346294
68.0,67.942903709237
82.03999999999999,82.02383134970259
48.2,48.20540037230135
84.92,85.1441648692006
81.32,81.31619313516113
79.88,79.87855284990864
82.03999999999999,82.02383134970259
80.96000000000001,80.96539682123964
53.24,53.2787682438785
39.02,39.2004211990817
77.18,77.18107838569264
73.94,73.9347262771498
35.96,35.9677280919006
80.06,80.05459070633353
80.96000000000001,80.96539682123964
62.24,62.28956275405346
72.68,72.6743886295478
39.02,39.2004211990817
66.92,67.04410215009453
51.44,51.5360558477659
70.16,70.30565618788943
56.120000000000005,56.080862121526685
84.56,84.55001208032789
76.1,76.07705681634909
41.72,41.81257123893394
46.58,46.44171408484523
24.98,24.406095949535306
61.88,62.14781184223313
82.94,82.9319431358283
57.56,57.67188172978227
54.86,54.85218394368578
57.92,57.98949272092918
75.74000000000001,75.67020992285465
50.540000000000006,50.16271270859311
45.5,45.44913893107941
67.28,67.2858540916312
38.66,38.66273655817372
43.88,43.79138184421
45.68,45.706933825392
43.88,43.79138184421
81.32,81.31619313516113
48.74,48.70382943137617
81.5,81.49271186372795
66.74000000000001,66.9548943851249
76.64,76.59067890177319
78.44,78.44161637575768
69.08000000000001,69.05063017114985
81.5,81.49271186372795
55.94,56.06424620936316
73.03999999999999,73.2229413482878
71.24000000000001,70.99143547625059
31.28,31.26419739902552
42.8,42.6867380721845
51.44,51.5360558477659
39.38,39.403786501895915
70.52,70.51616143405191
56.120000000000005,56.080862121526685
44.42,44.3968621329173
74.84,74.7810649711205
79.16,79.15091092855795
57.02,56.85933254579975
65.48,65.16640580718848
75.92,75.96366644811697
60.08,60.47972911751129
44.6,44.3968621329173
45.32,45.422258045259376
63.5,63.54756576156438
53.42,53.399148812473335
68.72,68.7440198892609
62.42,62.28956275405346
49.82,49.811120277963184
60.98,60.96522461019776
64.75999999999999,64.7240285390949
68.72,68.7440198892609
74.48,74.42554202068202
70.88,70.79370820352331
77.9,77.91483056839141
41.54,41.45313789524799
56.120000000000005,56.080862121526685
67.46000000000001,67.47231110787716
80.42,80.41737523248416
43.52,43.5327079368361
33.26,33.07674991218311
46.94,46.963679821796575
75.2,75.13566523164768
60.44,60.56258707205674
69.25999999999999,69.07294820018944
78.80000000000001,78.80593032726553
81.32,81.31619313516113
49.82,49.811120277963184
78.44,78.44161637575768
39.74,39.58367287399244
71.42,71.57844491118146
73.22,73.2229413482878
33.44,33.83022994306071
77.53999999999999,77.58039723416148
71.96000000000001,71.85306921055064
42.98,43.17346101753629
44.42,44.3968621329173
79.7,79.70477217653857
